churn,tenure,monthlycharges,totalcharges,churn_probability,risk_category
0,4,20.85,62.9,0.15552869295223812,Low Risk
0,33,88.95,3027.65,0.06698004911906637,Low Risk
1,27,78.05,2135.5,0.5483596618448684,Medium Risk
0,72,23.55,1723.95,0.006661549304948223,Low Risk
0,1,19.75,19.75,0.2075985658282547,Low Risk
0,71,56.45,3985.35,0.0873909691836533,Low Risk
0,13,85.95,1215.65,0.6038070659945672,High Risk
1,25,58.6,1502.65,0.2738883514374184,Low Risk
0,67,50.55,3260.1,0.007653829349539157,Low Risk
1,1,35.45,35.45,0.7840543573840801,High Risk
1,2,44.35,81.25,0.4616477132946489,Medium Risk
0,43,25.7,1188.2,0.01336980188235826,Low Risk
0,23,75.0,1778.5,0.23778215234245897,Low Risk
0,64,20.2,1277.75,0.0031886557032520103,Low Risk
0,57,19.6,1170.55,0.005976858594205965,Low Risk
1,1,70.45,70.45,0.7751587216816503,High Risk
0,72,88.05,6425.65,0.019480023784471504,Low Risk
1,8,71.15,563.65,0.3019901343771925,Medium Risk
0,61,101.05,5971.25,0.14149687313763967,Low Risk
0,64,84.3,5289.05,0.0880941757274665,Low Risk
0,71,23.95,1756.2,0.005510879924158695,Low Risk
0,65,99.05,6416.7,0.03370205866175683,Low Risk
0,3,19.6,61.35,0.09191678252274214,Low Risk
1,1,45.65,45.65,0.5978931412675498,Medium Risk
0,30,64.5,1929.95,0.05756897942873317,Low Risk
0,15,69.5,1071.4,0.16925073810791985,Low Risk
0,8,68.55,564.35,0.4087629444882541,Medium Risk
1,7,95.0,655.5,0.6406867977282106,High Risk
0,70,108.15,7930.55,0.13785053073428688,Low Risk
0,62,86.1,5215.25,0.01527646192659614,Low Risk
0,6,19.7,113.5,0.12990563735114755,Low Risk
0,14,80.9,1152.8,0.45306146248918583,Medium Risk
0,22,84.15,1821.95,0.4917027746366281,Medium Risk
0,22,20.15,419.9,0.02969532294718393,Low Risk
0,16,64.25,1024.0,0.026725428214313823,Low Risk
0,10,25.7,251.6,0.04352599624303942,Low Risk
0,13,56.0,764.55,0.16369792573623212,Low Risk
1,20,82.4,1592.35,0.3303766678319429,Medium Risk
0,2,69.7,135.2,0.7472777335190703,High Risk
0,53,73.9,3958.25,0.039432841921845284,Low Risk
0,11,20.6,233.9,0.0518484959826125,Low Risk
0,69,19.9,1363.45,0.0029637470459149867,Low Risk
1,4,70.9,273.0,0.6065482531641974,High Risk
0,72,89.05,6254.45,0.02390835151835621,Low Risk
1,58,45.3,2651.2,0.25279358694238274,Low Risk
0,16,20.4,321.4,0.10265834356221747,Low Risk
0,43,84.25,3539.25,0.08394935919136585,Low Risk
1,2,104.4,242.8,0.8136817155404223,High Risk
0,14,81.95,1181.75,0.03855237903440705,Low Risk
1,53,94.85,5000.2,0.26140042028084676,Low Risk
0,32,20.55,654.55,0.030303477915264707,Low Risk
0,34,24.7,780.2,0.1040025960877211,Low Risk
1,15,74.45,1145.7,0.4820471886861235,Medium Risk
1,7,76.45,503.6,0.3948408932614383,Medium Risk
0,15,105.35,1559.25,0.5690501742755779,Medium Risk
0,61,20.55,1252.0,0.013771381071249315,Low Risk
1,1,29.95,29.95,0.529664542603625,Medium Risk
0,1,45.3,45.3,0.4154913679291077,Medium Risk
1,8,84.5,662.65,0.6170482970487322,High Risk
0,33,74.75,2453.3,0.061305059508942085,Low Risk
1,13,79.25,1111.65,0.40625452133334916,Medium Risk
1,1,24.8,24.8,0.6993556316075603,High Risk
0,20,51.8,1023.85,0.15566903396428436,Low Risk
0,3,30.4,82.15,0.4705401422971949,Medium Risk
0,13,19.65,244.8,0.07349984138089104,Low Risk
0,40,56.6,2379.1,0.09396983173502832,Low Risk
0,43,71.9,3173.35,0.04905442734413461,Low Risk
1,6,91.0,531.0,0.6754791541127324,High Risk
0,69,19.75,1375.4,0.0029271843374010084,Low Risk
0,72,109.7,8129.3,0.04240061044334863,Low Risk
0,59,19.3,1192.7,0.0037782819130183264,Low Risk
0,20,96.55,1901.65,0.271204829729286,Low Risk
0,24,24.1,587.4,0.026701197815842872,Low Risk
0,59,111.35,6519.75,0.43065388798976934,Medium Risk
0,72,112.25,8041.65,0.07521929687974235,Low Risk
0,1,20.75,20.75,0.18066289992244536,Low Risk
0,27,101.9,2681.15,0.17981596047711024,Low Risk
0,14,80.05,1112.3,0.2688604368882877,Low Risk
0,71,105.55,7405.5,0.07219250945580118,Low Risk
0,13,78.3,1033.95,0.3883787142603388,Medium Risk
0,44,68.85,2958.95,0.16151435806862277,Low Risk
0,33,79.95,2684.85,0.12447221200329836,Low Risk
0,72,55.45,4179.2,0.01061527940442646,Low Risk
1,1,79.9,79.9,0.8301641171071422,High Risk
1,19,106.6,1934.45,0.40475354142118664,Medium Risk
0,64,102.45,6654.1,0.1359557086661547,Low Risk
1,2,46.0,84.5,0.43585735183748964,Medium Risk
0,1,25.25,25.25,0.6096227770566611,High Risk
0,61,19.75,1124.2,0.0036202287899860545,Low Risk
0,29,20.0,540.05,0.04084879163475916,Low Risk
0,23,86.8,1975.85,0.5198646141368135,Medium Risk
0,57,58.75,3437.45,0.18369338371032404,Low Risk
0,72,45.25,3139.8,0.004759114910413343,Low Risk
0,66,56.6,3789.2,0.015113885253141385,Low Risk
0,65,84.2,5324.5,0.03455717140144356,Low Risk
0,8,80.0,624.6,0.5727795014674842,Medium Risk
1,4,70.15,268.35,0.6726057525361457,High Risk
0,71,24.75,1836.9,0.004729344586982617,Low Risk
0,1,20.2,20.2,0.1985334438031294,Low Risk
1,4,50.05,179.35,0.2511037982609553,Low Risk
0,12,19.35,219.35,0.09630577385773625,Low Risk
0,24,50.6,1288.75,0.16006835001179068,Low Risk
0,31,81.15,2545.75,0.06615039950044053,Low Risk
1,1,55.2,55.2,0.4982732811829701,Medium Risk
0,30,89.9,2723.15,0.3901123503320017,Medium Risk
0,47,85.3,4107.25,0.02261517572472792,Low Risk
0,54,108.0,5760.65,0.07845993649478965,Low Risk
0,50,93.5,4747.5,0.1733127995969416,Low Risk
1,1,84.6,84.6,0.7725146142379471,High Risk
0,72,20.25,1566.9,0.0023787898860123916,Low Risk
0,29,25.15,702.0,0.1200729438442275,Low Risk
1,2,54.4,114.1,0.4913335695503964,Medium Risk
0,10,29.6,299.05,0.09907020877578793,Low Risk
0,18,73.15,1305.95,0.5465976859059134,Medium Risk
1,11,95.0,1120.3,0.6250602011798028,High Risk
0,16,19.75,284.35,0.01934342127633127,Low Risk
0,72,86.6,6350.5,0.020717009227310037,Low Risk
0,72,109.2,7878.3,0.06265705662637586,Low Risk
0,41,74.7,3187.65,0.04696875481284361,Low Risk
0,65,94.4,6126.15,0.20358736373189765,Low Risk
0,13,54.8,731.3,0.2954531662077149,Low Risk
0,4,75.35,273.4,0.5488751802120959,Medium Risk
0,41,65.0,2531.8,0.09682432058239043,Low Risk
1,15,74.4,1074.3,0.4859632855300125,Medium Risk
1,1,48.55,48.55,0.4261149323337568,Medium Risk
0,42,99.0,4298.45,0.22897083456588957,Low Risk
0,51,93.5,4619.55,0.1724514481126417,Low Risk
1,2,70.4,147.15,0.611760012884678,High Risk
1,1,40.2,40.2,0.6975554503760603,High Risk
0,32,83.7,2633.3,0.08788416376309076,Low Risk
0,10,19.85,193.05,0.16221848595259425,Low Risk
0,67,59.55,4103.9,0.037770884781119084,Low Risk
0,61,115.1,7008.15,0.04207303232304075,Low Risk
0,50,114.35,5791.1,0.12784135291597695,Low Risk
1,2,44.6,80.55,0.45606028874438864,Medium Risk
0,29,45.0,1228.65,0.3958771992842414,Medium Risk
1,3,41.15,132.2,0.7218473781688151,High Risk
1,13,106.9,1364.3,0.6983172676704432,High Risk
0,57,89.85,4925.35,0.4953950086723873,Medium Risk
0,31,49.85,1520.1,0.04893354351554363,Low Risk
0,45,113.3,5032.25,0.12671957741154916,Low Risk
0,61,88.1,5526.75,0.015971270642549003,Low Risk
0,50,24.9,1195.25,0.011625394976731606,Low Risk
0,19,105.0,2007.25,0.2979411812569643,Low Risk
1,59,19.35,1099.6,0.004596566523101014,Low Risk
0,71,24.25,1732.95,0.005850922743566332,Low Risk
1,16,94.45,1511.2,0.5500831331511584,Medium Risk
0,57,59.75,3450.15,0.013028255536095693,Low Risk
1,1,24.8,24.8,0.5475753895957822,Medium Risk
0,20,107.05,2172.05,0.45903245225633377,Medium Risk
1,1,70.6,70.6,0.6665294778345289,High Risk
1,5,85.4,401.1,0.6419880430330077,High Risk
1,52,105.05,5624.85,0.5372177531140303,Medium Risk
0,21,64.95,1339.8,0.20282338949739448,Low Risk
0,14,55.0,771.95,0.4899520145572072,Medium Risk
0,5,50.55,244.75,0.27356921819905966,Low Risk
0,6,55.15,322.9,0.1701434028731209,Low Risk
0,10,51.2,498.25,0.2572729620151379,Low Risk
0,1,25.4,25.4,0.25476188731275967,Low Risk
0,68,54.45,3687.75,0.04243163956386212,Low Risk
1,18,95.15,1779.95,0.33087483042764537,Medium Risk
0,22,76.0,1783.6,0.21168601822283917,Low Risk
0,20,44.35,927.15,0.23845680542277542,Low Risk
1,1,70.0,70.0,0.7536877353090015,High Risk
1,8,74.5,606.55,0.5689120898954783,Medium Risk
1,10,44.85,435.4,0.277676324977003,Low Risk
1,24,76.1,1712.7,0.5295964492212095,Medium Risk
0,35,61.2,2021.2,0.03375451177154926,Low Risk
0,23,86.8,1940.8,0.0781255876574521,Low Risk
0,6,89.35,567.8,0.7372382293704588,High Risk
0,12,19.7,220.35,0.11224613826891898,Low Risk
0,1,20.25,20.25,0.20603321584602102,Low Risk
0,71,76.05,5436.45,0.02908868959097442,Low Risk
0,35,100.8,3437.5,0.6521081955475623,High Risk
0,40,74.55,3015.75,0.323226486428619,Medium Risk
1,1,73.6,73.6,0.6468753508039156,High Risk
0,23,64.9,1509.8,0.16748100184197082,Low Risk
1,4,95.45,396.1,0.8399049176760972,High Risk
0,4,90.4,356.65,0.6718280162524333,High Risk
0,68,60.3,4109.0,0.017078679332080376,Low Risk
0,38,81.85,3141.7,0.2581567236237161,Low Risk
0,52,24.8,1229.1,0.008272618360795651,Low Risk
1,32,74.9,2303.35,0.5250692603369432,Medium Risk
0,29,75.55,2054.4,0.035983944646219804,Low Risk
0,38,101.15,3741.85,0.47621499743233014,Medium Risk
0,48,78.75,3682.45,0.08328857587574333,Low Risk
0,1,19.25,19.25,0.3053318416301327,Medium Risk
0,22,89.05,1886.25,0.3458358369014994,Medium Risk
0,43,115.05,4895.1,0.05299639390533461,Low Risk
0,5,69.35,341.6,0.6784613934428072,High Risk
1,5,80.6,415.55,0.6537347011043183,High Risk
0,51,110.05,5686.4,0.10814686160110829,Low Risk
0,71,19.9,1355.1,0.003694459845717676,Low Risk
1,38,80.3,3058.65,0.03415117538476248,Low Risk
1,24,93.15,2231.05,0.5812160890168548,Medium Risk
0,35,91.5,3236.35,0.3117838221317186,Medium Risk
1,54,82.45,4350.1,0.07060711396378944,Low Risk
0,72,60.0,4264.0,0.033059461187436814,Low Risk
0,1,44.8,44.8,0.6017869136424724,High Risk
0,9,48.6,422.3,0.08498349197815389,Low Risk
0,69,60.05,4176.7,0.021481396432429006,Low Risk
0,52,102.7,5138.1,0.39917971403031616,Medium Risk
0,11,82.9,880.05,0.576390771215009,Medium Risk
1,2,70.35,139.05,0.7654311062852861,High Risk
0,28,35.9,973.65,0.40294223107815813,Medium Risk
0,17,82.65,1470.05,0.4129436807813476,Medium Risk
0,35,19.85,739.35,0.012191288541045729,Low Risk
0,8,19.2,161.95,0.09713130358878679,Low Risk
0,46,94.9,4422.95,0.1779337663501491,Low Risk
1,7,73.85,511.25,0.6879914833934292,High Risk
1,2,80.6,155.8,0.675463625285898,High Risk
1,68,75.8,5293.95,0.04980512541638514,Low Risk
1,43,104.6,4759.85,0.17320444761567394,Low Risk
0,68,88.15,6148.45,0.03169798262288611,Low Risk
0,36,94.8,3565.65,0.3464078329940231,Medium Risk
1,63,103.4,6603.0,0.49059936314999536,Medium Risk
0,32,54.65,1830.1,0.08831317898929726,Low Risk
0,71,85.75,6223.8,0.014512732517051907,Low Risk
0,66,67.45,4508.65,0.05845067127035228,Low Risk
0,63,20.5,1328.15,0.008840207248784968,Low Risk
0,41,20.25,865.0,0.02095850664098753,Low Risk
0,1,72.1,72.1,0.8897492766084629,High Risk
1,2,90.4,168.2,0.8641755944970969,High Risk
0,70,19.45,1303.5,0.0033328403977751627,Low Risk
0,23,44.95,996.85,0.4987263751393164,Medium Risk
0,64,97.0,6430.9,0.08477609078870069,Low Risk
0,37,62.8,2278.75,0.020023146300036116,Low Risk
0,17,44.6,681.4,0.07957841836713346,Low Risk
0,7,89.15,574.35,0.7873493828836013,High Risk
1,4,84.8,371.9,0.5697677970244781,Medium Risk
1,21,41.9,840.1,0.3510227442289982,Medium Risk
1,10,80.25,846.0,0.543838481600331,Medium Risk
0,16,54.1,889.0,0.2964800213525858,Low Risk
0,64,105.25,6823.4,0.12192920488731865,Low Risk
1,27,30.75,805.1,0.16692646505339445,Low Risk
0,42,97.1,4016.75,0.2300731366256926,Low Risk
0,5,20.2,83.75,0.1398131032392053,Low Risk
0,41,98.8,3959.15,0.09292603623242499,Low Risk
0,58,50.3,2878.55,0.02952842442895431,Low Risk
0,47,20.55,945.7,0.008342117165271465,Low Risk
0,18,75.9,1373.05,0.28757010489944673,Low Risk
1,5,96.5,492.55,0.594034753637143,Medium Risk
0,23,59.95,1406.0,0.17938042288374467,Low Risk
0,1,19.15,19.15,0.21096272588314374,Low Risk
0,71,98.65,6962.85,0.2274993542067991,Low Risk
0,72,112.6,8126.65,0.04964125486648507,Low Risk
0,33,20.6,690.25,0.022024064622726193,Low Risk
1,2,85.65,181.5,0.8227977722798369,High Risk
0,24,35.75,830.8,0.020256836686303223,Low Risk
0,56,99.75,5608.4,0.15291659888623116,Low Risk
0,37,96.1,3646.8,0.3406950187402047,Medium Risk
0,43,85.1,3662.25,0.0710588054093053,Low Risk
0,1,25.35,25.35,0.5114774049286375,Medium Risk
1,25,104.95,2566.5,0.5489716407463656,Medium Risk
0,61,89.65,5308.7,0.028129672553650297,Low Risk
0,17,86.75,1410.25,0.23032545607377566,Low Risk
0,41,86.2,3339.05,0.11516376372668728,Low Risk
1,1,50.65,50.65,0.3929411457682304,Medium Risk
0,72,64.8,4732.35,0.02075543426728028,Low Risk
1,1,90.85,90.85,0.8640420171271982,High Risk
0,48,108.1,5067.45,0.13788063938551914,Low Risk
1,11,19.95,214.75,0.1308513892560242,Low Risk
1,55,85.45,4874.7,0.36968796026730905,Medium Risk
0,42,54.75,2348.45,0.09340461826755012,Low Risk
0,44,90.4,4063.0,0.37628674001566975,Medium Risk
0,1,44.0,44.0,0.4775967612451826,Medium Risk
0,27,95.6,2595.25,0.5876470429429097,Medium Risk
0,27,84.8,2309.55,0.32295867985253873,Medium Risk
0,2,44.3,89.3,0.5675709021245937,Medium Risk
0,19,19.9,367.55,0.07270029286673159,Low Risk
0,42,95.05,3944.5,0.6055622782007283,High Risk
0,66,90.05,5965.95,0.021901064898399266,Low Risk
0,33,109.9,3694.7,0.40829170349778654,Medium Risk
1,34,73.95,2524.45,0.2480868840349224,Low Risk
0,33,54.6,1803.7,0.406335400149774,Medium Risk
0,23,20.05,415.1,0.029459169758167963,Low Risk
0,32,19.75,624.15,0.031063312930278256,Low Risk
0,11,20.05,237.7,0.055885484888367525,Low Risk
1,69,99.45,7007.6,0.32917254392461837,Medium Risk
0,68,55.9,3848.8,0.01243532235150163,Low Risk
0,20,19.7,419.4,0.02111745907633383,Low Risk
0,72,19.8,1468.75,0.0034651445702020716,Low Risk
0,60,95.4,5812.0,0.1370240662560129,Low Risk
0,32,93.95,2861.45,0.4403411161048718,Medium Risk
1,1,19.9,19.9,0.27509884018645486,Low Risk
1,1,19.6,19.6,0.2744704055386672,Low Risk
1,3,81.35,233.7,0.776130946479558,High Risk
0,46,24.45,1066.15,0.03741341588807997,Low Risk
0,29,74.95,2149.05,0.5022717986432784,Medium Risk
0,51,87.35,4473.0,0.3157387598462276,Medium Risk
0,48,70.65,3545.05,0.23046292500761734,Low Risk
0,16,73.25,1195.75,0.2565364367529264,Low Risk
0,70,98.7,6858.9,0.07101795566555476,Low Risk
0,40,24.8,1024.7,0.014590192155649608,Low Risk
1,22,83.3,1845.9,0.35077251147396754,Medium Risk
1,1,75.3,75.3,0.8010809509314278,High Risk
0,5,24.3,132.25,0.23571403033604393,Low Risk
0,7,69.85,515.45,0.5020969060778874,Medium Risk
0,29,100.55,2830.45,0.16101340745749262,Low Risk
0,44,25.7,1110.5,0.020434538807342206,Low Risk
0,10,40.7,449.3,0.22299793250078198,Low Risk
0,55,51.65,2838.55,0.11463303656850586,Low Risk
0,52,105.1,5376.4,0.3666160960062854,Medium Risk
0,10,85.95,858.6,0.6007696199814104,High Risk
0,18,75.6,1395.05,0.4409280991480135,Medium Risk
0,68,58.25,3975.7,0.02001240064961877,Low Risk
1,61,19.4,1182.55,0.024598213374195845,Low Risk
0,72,65.2,4784.45,0.015149058247560482,Low Risk
0,2,53.45,119.5,0.3281662590836829,Medium Risk
1,12,45.4,518.9,0.29499181941193703,Low Risk
0,41,19.75,899.45,0.015580259108955408,Low Risk
0,26,44.45,1183.8,0.249095588963372,Low Risk
0,36,20.85,720.05,0.02615253428660081,Low Risk
0,72,114.05,8468.2,0.046224223504219945,Low Risk
0,35,89.85,3161.2,0.40687057961675804,Medium Risk
0,1,55.05,55.05,0.3582947212825829,Medium Risk
0,16,112.95,1882.55,0.41067342072271434,Medium Risk
0,49,101.55,5070.4,0.3186213224393945,Medium Risk
0,54,114.65,6049.5,0.18431256080259914,Low Risk
0,18,64.8,1166.7,0.23042729749273974,Low Risk
0,36,80.4,2937.65,0.3523872726879537,Medium Risk
1,60,105.9,6396.45,0.49394212849563784,Medium Risk
1,1,69.55,69.55,0.6729257505822817,High Risk
0,52,25.05,1270.25,0.013450544271295576,Low Risk
0,8,94.75,759.55,0.6720697862204882,High Risk
0,72,105.5,7611.55,0.024671751216030907,Low Risk
0,64,24.7,1642.75,0.01307735010085161,Low Risk
0,22,69.75,1545.4,0.1410294382523041,Low Risk
0,60,60.2,3582.4,0.17804277927851614,Low Risk
1,28,81.05,2227.1,0.47472244898848687,Medium Risk
0,61,24.4,1417.9,0.006643035056819286,Low Risk
0,24,104.15,2494.65,0.5950854663225086,Medium Risk
0,28,92.9,2768.35,0.10477610361365515,Low Risk
0,30,80.8,2369.3,0.03292227048695183,Low Risk
0,2,20.0,38.0,0.18900875991819188,Low Risk
0,1,75.1,75.1,0.8674461448826013,High Risk
0,6,19.65,100.9,0.13278059626027647,Low Risk
0,24,69.45,1614.05,0.27545987985289566,Low Risk
1,4,101.15,385.9,0.7701020979986772,High Risk
1,7,99.8,673.25,0.780295491757285,High Risk
0,72,116.05,8404.9,0.07266728020385452,Low Risk
0,70,40.05,2799.75,0.020017205528394394,Low Risk
0,64,102.1,6538.45,0.12016940961620405,Low Risk
0,72,89.7,6588.95,0.15997346319332073,Low Risk
0,44,19.9,868.1,0.005751533390979869,Low Risk
1,13,55.95,734.35,0.27141174952148894,Low Risk
0,17,20.65,330.6,0.04799724281481251,Low Risk
1,1,55.0,55.0,0.7111506756952409,High Risk
0,9,70.05,564.4,0.4691591571616568,Medium Risk
0,24,53.6,1315.35,0.060594607575766526,Low Risk
1,1,74.7,74.7,0.7800760190673142,High Risk
1,24,80.25,1861.5,0.4542750657012103,Medium Risk
0,35,76.05,2747.2,0.20690366781941608,Low Risk
0,7,75.7,554.05,0.20735460206087813,Low Risk
1,5,96.1,453.4,0.7095529490509188,High Risk
1,15,69.0,994.8,0.3061609446018419,Medium Risk
0,11,19.65,225.75,0.02244720543445451,Low Risk
1,48,45.3,2145.0,0.1657521574527843,Low Risk
0,20,81.45,1671.6,0.5204979526883079,Medium Risk
0,72,108.5,8003.8,0.19006700784929398,Low Risk
1,8,83.55,680.05,0.5573454318338281,Medium Risk
0,72,84.5,6130.85,0.06326079357484721,Low Risk
0,15,100.15,1415.0,0.691547154447642,High Risk
0,72,88.6,6201.95,0.030098923187603162,Low Risk
0,0,52.55,0.0,0.07212213586398518,Low Risk
1,1,74.35,74.35,0.850631394108442,High Risk
0,63,104.8,6597.25,0.11901535074988054,Low Risk
0,2,59.0,114.15,0.5825847837258137,Medium Risk
1,2,74.4,139.4,0.6905604418463749,High Risk
0,61,64.05,3902.6,0.07649952169228885,Low Risk
0,1,20.4,20.4,0.20556531866621044,Low Risk
1,22,43.75,903.6,0.23540515050676247,Low Risk
0,28,60.9,1785.65,0.05290330246219832,Low Risk
0,70,19.8,1397.65,0.003261145500528296,Low Risk
1,5,28.45,131.05,0.527333904490808,Medium Risk
1,12,99.7,1238.45,0.4821771172315425,Medium Risk
0,34,116.25,3899.05,0.13740890694630048,Low Risk
0,71,80.7,5676.0,0.038903200133091585,Low Risk
0,70,65.2,4543.15,0.03357921230742447,Low Risk
